Sr. No.,Symbol,Exchange,Section,T4,T3,T2,T1, Max value ,Entry leg 1,Entry Leg 2,Min Lot Size
78,GODREJPROP,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
79,GRANULES,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
80,GRASIM,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
81,GUJGASLTD,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
82,HAL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
83,HAVELLS,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
84,HCLTECH,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
85,HDFCAMC,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
86,HDFCBANK,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
87,HDFCLIFE,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
88,HEROMOTOCO,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
89,HINDALCO,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
90,HINDCOPPER,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
91,HINDPETRO,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
92,HINDUNILVR,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
93,IBULHSGFIN,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
94,ICICIBANK,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
95,ICICIGI,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
96,ICICIPRULI,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
97,IDEA,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
98,IDFC,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
99,IDFCFIRSTB,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
100,IEX,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
101,IGL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
102,INDHOTEL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
103,INDIACEM,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
104,INDIAMART,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
