Sr. No.,Symbol,Exchange,Section,T4,T3,T2,T1, Max value ,Entry leg 1,Entry Leg 2,Min Lot Size
507,FINEORG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
508,FINOPB,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
509,FINPIPE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
510,FIVESTAR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
511,FLUOROCHEM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
512,FMGOETZE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
513,FOCUS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
514,FOODSIN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
515,FORCEMOT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
516,FORTIS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
517,FOSECOIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
518,FSL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
519,FUSION,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
520,GABRIEL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
521,GAEL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
522,GALAXYSURF,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
523,GALLANTT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
524,GANDHITUBE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
525,GANECOS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
526,GANESHBE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
527,GANESHHOUC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
528,GARFIBRES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
529,GATEWAY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
530,GATI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
531,GENESYS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
532,GENSOL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
533,GENUSPAPER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
534,GENUSPOWER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
535,GEOJITFSL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
536,GEPIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
537,GESHIP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
538,GET&D,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
539,GFLLIMITED,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
540,GHCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
541,GHCLTEXTIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
542,GICHSGFIN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
543,GICRE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
544,GILLETTE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
545,GILT5YBEES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
546,GIPCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
547,GLAND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
548,GLAXO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
549,GLOBAL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
550,GLOBUSSPR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
551,GLS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
552,GMBREW,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
553,GMDCLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
554,GMMPFAUDLR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
555,GMRP&UI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
556,GNA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
557,GOACARBON,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
558,GOCLCORP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
559,GOCOLORS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
560,GODFRYPHLP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
561,GODREJAGRO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
562,GODREJIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
563,GOKEX,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
564,GOKUL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
565,GOKULAGRO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
566,GOLDBEES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
567,GOLDIAM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
568,GOODLUCK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
569,GOODYEAR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
570,GPIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
571,GPPL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
572,GRAPHITE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
573,GRAUWEIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
574,GRAVITA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
575,GREAVESCOT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
576,GREENLAM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
577,GREENPANEL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
578,GREENPLY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
579,GRINDWELL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
580,GRINFRA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
581,GRMOVER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
582,GRSE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
583,GRWRHITECH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
584,GSFC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
585,GSLSU,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
586,GSPL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
587,GSS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
588,GTLINFRA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
589,GTPL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
590,GUFICBIO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
591,GUJALKALI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
592,GULFOILLUB,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
593,GULFPETRO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
594,GULPOLY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
595,GVKPIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
596,HAPPSTMNDS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
597,HARIOMPIPE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
598,HARSHA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
599,HATHWAY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
600,HATSUN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
601,HBLPOWER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
602,HCC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
603,HCG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
604,HDFCGOLD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
605,HDFCNIFTY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
606,HDFCSILVER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
607,HDFCSML250,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
608,HEG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
609,HEIDELBERG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
610,HEMIPROP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
611,HERANBA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
612,HERCULES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
613,HERITGFOOD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
614,HEUBACHIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
615,HFCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
616,HGINFRA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
617,HGS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
618,HIKAL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
619,HIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
620,HILTON,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
621,HIMATSEIDE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
622,HINDCOMPOS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
623,HINDMOTORS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
624,HINDOILEXP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
625,HINDWAREAP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
626,HINDZINC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
627,HITECH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
628,HLEGLAS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
629,HLVLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
630,HMAAGRO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
631,HNDFDS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
632,HOMEFIRST,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
633,HONAUT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
634,HONDAPOWER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
635,HPAL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
636,HPL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
637,HSCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
638,HTMEDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
639,HUDCO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
640,HUHTAMAKI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
641,IBREALEST,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
642,ICEMAKE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
643,ICICIB22,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
644,ICICIBANKN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
645,ICICIBANKP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
646,ICICIGOLD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
647,ICICILIQ,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
648,ICICILOVOL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
649,ICICIM150,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
650,ICICINIFTY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
651,ICICISILVE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
652,ICICITECH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
653,ICIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
654,ICRA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
655,IDBI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
656,IDEAFORGE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
657,IFBIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
658,IFCI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
659,IFGLEXPOR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
660,IGARASHI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
661,IGPL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
662,IIFL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
663,IIFLSEC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
664,IKIO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
665,IMAGICAA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
666,IMFA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
667,INDBANK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
668,INDIAGLYCO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
669,INDIANB,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
670,INDIANCARD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
671,INDIANHUME,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
672,INDIGOPNTS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
673,INDNIPPON,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
674,INDOAMIN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
675,INDOCO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
676,INDORAMA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
677,INDSWFTLAB,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
678,INDTERRAIN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
679,INFIBEAM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
680,INFOBEAN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
681,INGERRAND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
682,INOXGREEN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
683,INOXWIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
684,INSECTICID,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
685,INTELLECT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
686,INTENTECH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
687,INTLCONV,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
688,INVENTURE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
689,IOB,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
690,IOLCP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
691,IONEXCHANG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
692,IPL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
693,IRB,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
694,IRCON,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
695,IRFC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
696,ISEC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
697,ISFT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
698,ISGEC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
699,ISMTLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
700,ITBEES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
701,ITDC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
702,ITDCEM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
703,ITI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
704,IWEL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
705,J&KBANK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
706,JAGRAN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
707,JAGSNPHARM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
708,JAICORPLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
709,JAMNAAUTO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
710,JASH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
711,JAYBARMARU,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
712,JAYNECOIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
713,JAYSREETEA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
714,JBCHEPHARM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
715,JCHAC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
716,JINDALPHOT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
717,JINDALPOLY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
718,JINDALSAW,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
719,JINDRILL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
720,JINDWORLD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
721,JIOFIN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
722,JISLJALEQS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
723,JKIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
724,JKLAKSHMI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
725,JKPAPER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
726,JKTYRE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
727,JMFINANCIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
728,JPASSOCIAT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
729,JPPOWER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
730,JSL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
731,JSWENERGY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
732,JSWHL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
733,JTEKTINDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
734,JTLIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
735,JUBLINDS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
736,JUBLINGREA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
737,JUBLPHARMA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
738,JUNIORBEES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
739,JUSTDIAL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
740,JWL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
741,JYOTHYLAB,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
742,KABRAEXTRU,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
743,KAJARIACER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
744,KALYANKJIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
745,KAMDHENU,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
746,KANORICHEM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
747,KANSAINER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
748,KARURVYSYA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
749,KAYNES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
750,KCP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
751,KCPSUGIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
752,KDDL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
753,KEC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
754,KECL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
755,KEI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
756,KELLTONTEC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
757,KENNAMET,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
758,KFINTECH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
